ano,mes,estado,preco_medio
2025,4,RO,123.89
2025,4,RR,137.22
2025,4,RS,111.27
2025,4,SC,118.47
2025,4,SE,104.03
2025,4,SP,106.35
2025,4,TO,126.14
2025,5,AC,123.12
2025,5,AL,101.35
2025,5,AM,127.45
2025,5,AP,121.43
2025,5,BA,117.19
2025,5,CE,109.90
2025,5,DF,102.42
2025,5,ES,100.50
2025,5,GO,108.83
2025,5,MA,120.03
2025,5,MG,105.73
2025,5,MS,113.72
2025,5,MT,120.66
2025,5,PA,113.81
2025,5,PB,105.14
2025,5,PE,99.69
2025,5,PI,107.56
2025,5,PR,104.93
2025,5,RJ,99.94
2025,5,RN,105.19
2025,5,RO,123.48
2025,5,RR,137.01
2025,5,RS,112.46
2025,5,SC,120.39
2025,5,SE,104.53
2025,5,SP,107.67
2025,5,TO,126.54
2025,6,AC,122.17
2025,6,AL,101.82
2025,6,AM,125.88
2025,6,AP,120.91
2025,6,BA,117.83
2025,6,CE,109.36
2025,6,DF,102.82
2025,6,ES,99.89
2025,6,GO,110.10
2025,6,MA,119.63
2025,6,MG,105.29
2025,6,MS,112.79
2025,6,MT,118.79
2025,6,PA,112.04
2025,6,PB,106.00
2025,6,PE,98.36
2025,6,PI,106.99
2025,6,PR,105.41
2025,6,RJ,99.41
2025,6,RN,102.29
2025,6,RO,122.61
2025,6,RR,137.76
2025,6,RS,112.29
2025,6,SC,121.79
2025,6,SE,104.49
2025,6,SP,108.54
2025,6,TO,125.82
2025,7,AC,121.71
2025,7,AL,101.77
2025,7,AM,124.12
2025,7,AP,121.20
2025,7,BA,119.69
2025,7,CE,107.85
2025,7,DF,103.39
2025,7,ES,98.53
2025,7,GO,109.53
2025,7,MA,116.04
2025,7,MG,106.83
2025,7,MS,111.30
2025,7,MT,115.60
2025,7,PA,110.65
2025,7,PB,103.93
2025,7,PE,95.14
2025,7,PI,105.83
2025,7,PR,104.83
2025,7,RJ,97.74
2025,7,RN,103.24
2025,7,RO,118.67
2025,7,RR,137.14
2025,7,RS,111.19
2025,7,SC,121.28
2025,7,SE,104.17
2025,7,SP,109.07
2025,7,TO,126.17
2025,8,AC,121.88
2025,8,AL,101.84
2025,8,AM,123.85
2025,8,AP,121.07
2025,8,BA,117.09
2025,8,CE,107.85
2025,8,DF,102.62
2025,8,ES,97.32
2025,8,GO,108.42
2025,8,MA,118.50
2025,8,MG,106.26
2025,8,MS,111.00
2025,8,MT,115.70
2025,8,PA,112.51
2025,8,PB,103.55
2025,8,PE,93.88
2025,8,PI,104.58
2025,8,PR,105.14
2025,8,RJ,96.85
2025,8,RN,103.56
2025,8,RO,118.71
2025,8,RR,138.28
2025,8,RS,111.06
2025,8,SC,120.36
2025,8,SE,103.97
2025,8,SP,109.82
2025,8,TO,125.71
2025,9,AC,121.77
2025,9,AL,102.90
2025,9,AM,124.35
2025,9,AP,122.57
2025,9,BA,115.01
2025,9,CE,111.90
2025,9,DF,102.28
2025,9,ES,98.69
2025,9,GO,110.55
2025,9,MA,119.14
2025,9,MG,107.18
2025,9,MS,110.79
2025,9,MT,120.13
2025,9,PA,110.33
2025,9,PB,104.42
2025,9,PE,95.69
2025,9,PI,108.07
2025,9,PR,107.05
2025,9,RJ,99.10
2025,9,RN,102.89
2025,9,RO,120.10
2025,9,RR,138.59
2025,9,RS,112.82
2025,9,SC,121.75
2025,9,SE,104.95
2025,9,SP,109.86
2025,9,TO,128.82
2025,10,AC,122.63
