ano,mes,estado,desvio_padrao
2024,10,MG,11.20
2024,10,MS,8.15
2024,10,MT,11.15
2024,10,PA,6.74
2024,10,PB,6.97
2024,10,PE,9.34
2024,10,PI,3.45
2024,10,PR,7.80
2024,10,RJ,8.84
2024,10,RN,10.61
2024,10,RO,5.55
2024,10,RR,4.73
2024,10,RS,5.44
2024,10,SC,7.98
2024,10,SE,2.99
2024,10,SP,10.75
2024,10,TO,6.18
2024,11,AC,5.82
2024,11,AL,7.00
2024,11,AM,6.01
2024,11,AP,7.12
2024,11,BA,9.53
2024,11,CE,7.37
2024,11,DF,5.06
2024,11,ES,5.84
2024,11,GO,7.56
2024,11,MA,2.16
2024,11,MG,11.15
2024,11,MS,8.52
2024,11,MT,11.51
2024,11,PA,6.60
2024,11,PB,6.55
2024,11,PE,10.24
2024,11,PI,5.26
2024,11,PR,8.87
2024,11,RJ,8.48
2024,11,RN,10.13
2024,11,RO,5.55
2024,11,RR,5.80
2024,11,RS,6.01
2024,11,SC,7.40
2024,11,SE,4.02
2024,11,SP,10.88
2024,11,TO,5.78
2024,12,AC,5.84
2024,12,AL,7.01
2024,12,AM,5.97
2024,12,AP,7.72
2024,12,BA,10.98
2024,12,CE,7.65
2024,12,DF,5.38
2024,12,ES,6.51
2024,12,GO,7.62
2024,12,MA,2.63
2024,12,MG,10.50
2024,12,MS,7.57
2024,12,MT,11.79
2024,12,PA,6.85
2024,12,PB,5.34
2024,12,PE,10.17
2024,12,PI,6.26
2024,12,PR,8.57
2024,12,RJ,8.60
2024,12,RN,10.70
2024,12,RO,5.71
2024,12,RR,6.57
2024,12,RS,6.20
2024,12,SC,7.38
2024,12,SE,3.82
2024,12,SP,10.79
2024,12,TO,5.88
2025,1,AC,5.98
2025,1,AL,6.92
2025,1,AM,6.08
2025,1,AP,7.47
2025,1,BA,12.76
2025,1,CE,8.61
2025,1,DF,5.68
2025,1,ES,8.71
2025,1,GO,7.58
2025,1,MA,1.90
2025,1,MG,9.95
2025,1,MS,7.96
2025,1,MT,14.64
2025,1,PA,11.18
2025,1,PB,7.60
2025,1,PE,10.65
2025,1,PI,6.57
2025,1,PR,8.59
2025,1,RJ,7.71
2025,1,RN,8.79
2025,1,RO,5.50
2025,1,RR,6.19
2025,1,RS,7.05
2025,1,SC,10.46
2025,1,SE,3.07
2025,1,SP,10.75
2025,1,TO,5.90
2025,2,AC,6.02
2025,2,AL,7.07
2025,2,AM,6.37
2025,2,AP,8.51
2025,2,BA,12.44
2025,2,CE,8.11
2025,2,DF,5.92
2025,2,ES,8.83
2025,2,GO,10.46
2025,2,MA,5.88
2025,2,MG,10.21
2025,2,MS,8.14
2025,2,MT,14.45
2025,2,PA,11.16
2025,2,PB,6.82
2025,2,PE,9.98
2025,2,PI,8.60
2025,2,PR,8.52
2025,2,RJ,10.76
2025,2,RN,8.82
2025,2,RO,6.66
2025,2,RR,5.84
2025,2,RS,8.42
2025,2,SC,10.73
2025,2,SE,3.31
2025,2,SP,10.34
2025,2,TO,6.00
2025,3,AC,6.22
2025,3,AL,6.60
2025,3,AM,6.70
2025,3,AP,7.74
2025,3,BA,12.41
2025,3,CE,8.40
2025,3,DF,5.80
2025,3,ES,8.75
2025,3,GO,10.66
2025,3,MA,6.54
2025,3,MG,10.62
2025,3,MS,9.04
2025,3,MT,13.99
2025,3,PA,12.25
2025,3,PB,5.87
2025,3,PE,10.48
2025,3,PI,5.96
2025,3,PR,8.11
2025,3,RJ,12.08
2025,3,RN,8.90
2025,3,RO,7.83
2025,3,RR,5.95
2025,3,RS,9.33
2025,3,SC,11.29
2025,3,SE,3.33
2025,3,SP,10.51
2025,3,TO,4.82
2025,4,AC,6.40
2025,4,AL,6.89
2025,4,AM,6.48
2025,4,AP,11.17
2025,4,BA,12.70
2025,4,CE,8.32
2025,4,DF,4.36
2025,4,ES,8.28
2025,4,GO,10.50
2025,4,MA,6.01
2025,4,MG,10.47
2025,4,MS,9.28
2025,4,MT,12.91
2025,4,PA,13.71
2025,4,PB,5.74
2025,4,PE,9.65
2025,4,PI,5.18
2025,4,PR,8.14
2025,4,RJ,11.92
2025,4,RN,9.20
2025,4,RO,8.38
2025,4,RR,5.92
2025,4,RS,9.08
2025,4,SC,11.18
2025,4,SE,3.31
2025,4,SP,10.36
2025,4,TO,4.30
2025,5,AC,6.01
2025,5,AL,7.05
2025,5,AM,6.83
2025,5,AP,8.90
2025,5,BA,12.58
2025,5,CE,8.16
2025,5,DF,4.34
2025,5,ES,8.00
2025,5,GO,10.12
2025,5,MA,4.66
2025,5,MG,10.42
2025,5,MS,10.06
2025,5,MT,12.13
2025,5,PA,13.81
2025,5,PB,5.50
2025,5,PE,9.56
2025,5,PI,5.89
2025,5,PR,7.89
2025,5,RJ,11.05
2025,5,RN,8.77
2025,5,RO,8.17
2025,5,RR,5.90
2025,5,RS,8.99
2025,5,SC,10.52
2025,5,SE,3.73
2025,5,SP,10.59
2025,5,TO,4.65
2025,6,AC,6.42
2025,6,AL,7.26
2025,6,AM,6.54
2025,6,AP,6.89
2025,6,BA,11.78
2025,6,CE,8.18
2025,6,DF,4.97
2025,6,ES,8.09
2025,6,GO,9.99
2025,6,MA,4.00
2025,6,MG,10.77
2025,6,MS,9.62
2025,6,MT,11.80
2025,6,PA,11.24
2025,6,PB,5.54
2025,6,PE,9.62
2025,6,PI,5.92
2025,6,PR,7.90
2025,6,RJ,9.77
2025,6,RN,8.45
2025,6,RO,8.55
2025,6,RR,7.12
2025,6,RS,8.89
2025,6,SC,9.67
2025,6,SE,4.33
2025,6,SP,10.48
2025,6,TO,4.74
2025,7,AC,6.57
2025,7,AL,8.08
2025,7,AM,5.58
2025,7,AP,6.95
2025,7,BA,10.99
2025,7,CE,8.00
2025,7,DF,4.90
2025,7,ES,8.60
2025,7,GO,7.51
2025,7,MA,7.67
2025,7,MG,11.49
2025,7,MS,8.79
2025,7,MT,10.94
2025,7,PA,11.02
2025,7,PB,6.03
2025,7,PE,8.80
2025,7,PI,5.36
2025,7,PR,7.36
2025,7,RJ,8.92
2025,7,RN,10.69
2025,7,RO,5.51
2025,7,RR,8.11
2025,7,RS,7.35
2025,7,SC,8.12
2025,7,SE,3.92
2025,7,SP,11.02
2025,7,TO,4.47
2025,8,AC,6.32
2025,8,AL,8.12
2025,8,AM,5.25
2025,8,AP,6.72
2025,8,BA,9.97
2025,8,CE,7.92
2025,8,DF,5.42
2025,8,ES,7.69
2025,8,GO,6.34
2025,8,MA,3.43
2025,8,MG,12.05
2025,8,MS,9.03
2025,8,MT,11.13
2025,8,PA,4.92
2025,8,PB,6.53
2025,8,PE,8.12
2025,8,PI,4.38
2025,8,PR,7.58
2025,8,RJ,8.44
2025,8,RN,10.44
2025,8,RO,5.51
2025,8,RR,7.33
2025,8,RS,6.53
2025,8,SC,8.11
2025,8,SE,4.04
2025,8,SP,10.99
2025,8,TO,4.39
2025,9,AC,5.99
2025,9,AL,7.35
2025,9,AM,5.57
2025,9,AP,7.93
2025,9,BA,13.25
2025,9,CE,9.44
2025,9,DF,5.18
2025,9,ES,7.27
2025,9,GO,10.15
2025,9,MA,4.13
2025,9,MG,11.37
2025,9,MS,9.26
2025,9,MT,12.71
2025,9,PA,11.87
2025,9,PB,6.57
2025,9,PE,7.61
2025,9,PI,6.33
2025,9,PR,8.34
2025,9,RJ,8.71
2025,9,RN,8.07
2025,9,RO,6.56
2025,9,RR,7.70
2025,9,RS,7.91
2025,9,SC,9.35
2025,9,SE,4.91
